Identifier	Character	Dialogue	Filename	Line Number
Chapter1_6233ad71		... ... ...!	game/Chapter1.rpy	11
Chapter1_4fdf1f8d		Ugh...	game/Chapter1.rpy	16
Chapter1_08445ef6		Ow... My head hurts...	game/Chapter1.rpy	17
Chapter1_1b408869		Everything around me is spinning...	game/Chapter1.rpy	18
Chapter1_faae7802		Where...\n{w=1.0}{nw}	game/Chapter1.rpy	25
Chapter1_dc86aad5	extend	Am I?	game/Chapter1.rpy	26
Chapter1_9db5184e		It doesn't look like there's anyone else around.	game/Chapter1.rpy	29
Chapter1_569a3315		Could it be that I'm the only survivor from that incident?	game/Chapter1.rpy	30
Chapter1_7072f3b4		No...	game/Chapter1.rpy	37
Chapter1_41dbddd2		This can't be happening...	game/Chapter1.rpy	38
Chapter1_6d5ca8ea		Mom... Dad...	game/Chapter1.rpy	39
Chapter1_97e996d7		I'm...\n{w=1.0}{nw}	game/Chapter1.rpy	40
Chapter1_e7e53f6f	extend	all alone again...	game/Chapter1.rpy	41
Chapter1_4cfcfe07		Just like...	game/Chapter1.rpy	42
Chapter1_ef635018		... ... ...	game/Chapter1.rpy	43
Chapter1_8fa99d45		No!	game/Chapter1.rpy	50
Chapter1_c9c57861		I've got to keep it together.	game/Chapter1.rpy	51
Chapter1_1baf18a1		Yeah that's right.	game/Chapter1.rpy	52
Chapter1_58a80557		I'm sure news has already gotten out about the incident. I just have to believe they'll send help out.	game/Chapter1.rpy	53
Chapter1_e99a5395		Right now I'll do everything I can to survive.	game/Chapter1.rpy	54
Chapter1_ef635018_1		... ... ...	game/Chapter1.rpy	61
Chapter1_6d9870d1		Maybe I should take a look around.	game/Chapter1.rpy	62
Chapter1_be11847a		There's a chance that someone else besides me could have ended up here.	game/Chapter1.rpy	63
Chapter1_ef635018_2		... ... ...	game/Chapter1.rpy	72
Chapter1_9a9768e1		Not a single soul to be seen...	game/Chapter1.rpy	73
Chapter1_8ea758ac		Am I going to die here?	game/Chapter1.rpy	80
Chapter1_5d1e7ec3		There's no water or food for that matter... Just sand everywhere and a big ocean in front of me...	game/Chapter1.rpy	81
Chapter1_d9764205		What am I to do now?	game/Chapter1.rpy	82
Chapter1_bfc22306		I've looked everywhere... Everywhere except for...	game/Chapter1.rpy	83
Chapter1_de4178eb		The forest behind me.	game/Chapter1.rpy	89
Chapter1_4ae746da		I mean I want to take a look in there but what if I run into a wild animal, I'll be nothing but a pile of bones in seconds.	game/Chapter1.rpy	90
Chapter1_ef635018_3		... ... ...	game/Chapter1.rpy	91
Chapter1_6d5ce869		As I stood there with the sun beaming down on me. My mind became lost in thought. I started to despair over the thoughts of what will become of me.	game/Chapter1.rpy	92
Chapter1_91748a99		Staying here won't help and the place where I'll most likely find food would be in there...	game/Chapter1.rpy	93
Chapter1_d52b8225		I guess I don't have a choice... it's do or die.	game/Chapter1.rpy	100
Chapter1_20546a1f		This forest is really something... I've never seen anything like this. Then again I've never been to a forest before...	game/Chapter1.rpy	117
Chapter1_b41cdea5		All this greenery reminds me of home somehow. Especially the time when I was little... 	game/Chapter1.rpy	118
Chapter1_fddd0876		I remember sitting in the garden on a sunny day, watching mum tending to the flowers and watering the plants. 	game/Chapter1.rpy	119
Chapter1_173f614e		The garden would always look impressive because mum would spend every available hour pruning the leaves from the bushes and keeping the place prim and proper. 	game/Chapter1.rpy	120
Chapter1_9892ce8e		But, this place is different. Everything here feels natural. Big leaves growing everywhere, green vines hanging from trees, huge tree trunks with fungus growing around them.	game/Chapter1.rpy	121
Chapter1_940dbe11		The sound of birds chirping and cicadas mixed into the atmosphere. A carving that looks like a dragon's head...	game/Chapter1.rpy	125
Chapter1_ef635018_4		... ... ...	game/Chapter1.rpy	126
Chapter1_90cbe5b8		Ah ha ha... dragon...	game/Chapter1.rpy	130
Chapter1_fc4a8c1d		What a funny looking piece of wood.	game/Chapter1.rpy	131
Chapter1_244193e9		I stared at the miniature piece that sat on top of a moss covered rock.	game/Chapter1.rpy	132
Chapter1_e0a6a5c3		I think I'm starting to lose the plot here.	game/Chapter1.rpy	133
Chapter1_87ff6ed6		B-But...	game/Chapter1.rpy	134
Chapter1_1f023d8f	extend	 could this be...	game/Chapter1.rpy	135
Chapter1_1d81ddfe	extend	man-made?	game/Chapter1.rpy	136
Chapter1_a74f7a9c		If so then...	game/Chapter1.rpy	137
Chapter1_9d38ea26	extend	 there's definitely someone that lives here!	game/Chapter1.rpy	138
Chapter1_b1135b55		How long have I been walking?\n	game/Chapter1.rpy	152
Chapter1_acbab044	extend	What time is it?\n	game/Chapter1.rpy	153
Chapter1_d08a82c5	extend	What day's today?	game/Chapter1.rpy	154
Chapter1_771b0146		I just can't seem to find anything or anyone...	game/Chapter1.rpy	161
Chapter1_e81efaa7		Wait...	game/Chapter1.rpy	168
Chapter1_d89b0090		Which way did I come from?	game/Chapter1.rpy	169
Chapter1_3950330b		Sigh...	game/Chapter1.rpy	176
Chapter1_77b60f3c		Now I'm lost too...\n	game/Chapter1.rpy	177
Chapter1_83d145be	extend	And on top of that...	game/Chapter1.rpy	178
Chapter1_b34b108d		I'm really thirsty and hungry.\n	game/Chapter1.rpy	179
Chapter1_48f560e7	extend	I wish I could have something cold, thirst quenching and filling to eat...	game/Chapter1.rpy	180
Chapter1_393bffec		It's no good... I'm really tired.\n	game/Chapter1.rpy	181
